meeting_key,session_key,driver_number,driver_name,Lap Number,Lap Time,compound,meeting_name
1229,9472,1,Max VERSTAPPEN,2,96.296,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,3,96.753,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,4,96.647,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,5,97.173,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,6,97.092,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,7,97.038,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,8,97.024,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,9,97.229,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,10,96.96,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,11,97.085,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,12,97.045,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,13,97.03,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,14,97.028,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,15,97.011,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,16,97.168,SOFT,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,19,95.283,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,20,95.16,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,21,95.316,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,22,95.204,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,23,95.216,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,24,95.289,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,25,95.342,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,26,95.223,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,27,95.581,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,28,95.477,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,29,95.793,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,30,95.771,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,31,95.679,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,32,95.886,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,33,95.863,HARD,Bahrain Grand Prix
1229,9472,1,Max VERSTAPPEN,34,96.133,HARD,Bahrain Grand Prix
